fecha,pais,incidencia_7d
2021-01-27,Ecuador,7.556485349142685
2021-01-28,Ecuador,7.929180055056065
2021-01-29,Ecuador,8.504652740745973
2021-01-31,Ecuador,9.480872422041665
2021-02-01,Ecuador,9.54499194133859
2021-02-02,Ecuador,7.219056378842614
2021-02-03,Ecuador,7.233483270684421
2021-02-04,Ecuador,7.659878074008977
2021-02-05,Ecuador,7.307220717875886
2021-02-06,Ecuador,6.993035073320949
2021-02-08,Ecuador,5.450159140238678
2021-02-10,Ecuador,5.551948877122548
2021-02-11,Ecuador,5.660150565936108
2021-02-12,Ecuador,7.218254884851403
2021-02-13,Ecuador,7.292793826034078
2021-02-15,Ecuador,7.891509837469122
2021-02-17,Ecuador,6.528168558418239
2021-02-18,Ecuador,5.709843193391227
2021-02-19,Ecuador,6.082537899304606
2021-02-20,Ecuador,6.982615651435201
2021-02-21,Ecuador,6.649194151091187
2021-02-22,Ecuador,6.947349915821891
2021-02-23,Ecuador,5.824456834134481
2021-02-24,Ecuador,6.177114190267573
2021-02-25,Ecuador,8.463776547194183
2021-02-26,Ecuador,9.06409554661165
2021-02-27,Ecuador,9.075316462488612
2021-02-28,Ecuador,7.615795904492342
2021-03-01,Ecuador,9.202754007091253
2021-03-02,Ecuador,9.136230005820691
2021-03-03,Ecuador,8.772351733810638
2021-03-04,Ecuador,8.570375248025321
2021-03-05,Ecuador,6.865597528718311
2021-03-06,Ecuador,6.789455599553213
2021-03-07,Ecuador,8.290653845092484
2021-03-08,Ecuador,6.690871838634189
2021-03-09,Ecuador,6.613126921486667
2021-03-10,Ecuador,6.723733092273863
2021-03-11,Ecuador,5.906209221238062
2021-03-12,Ecuador,6.589883595741531
2021-03-13,Ecuador,6.528970052409451
2021-03-14,Ecuador,6.1899380941269575
2021-03-15,Ecuador,6.1859306241709
2021-03-16,Ecuador,6.315772650747173
2021-03-17,Ecuador,6.203563491977554
2021-03-18,Ecuador,7.018682881039721
2021-03-19,Ecuador,7.591751084755994
2021-03-20,Ecuador,8.357177846363044
2021-03-21,Ecuador,8.176841698340441
2021-03-22,Ecuador,8.317103146802465
2021-03-23,Ecuador,8.297867291013388
2021-03-24,Ecuador,8.588809609823189
2021-03-25,Ecuador,8.98394614749049
2021-03-26,Ecuador,8.998373039332298
2021-03-27,Ecuador,9.464041048226221
